,School,FG,FGA,3P,FT,FTA,ORB,TRB,TOV
4,Alabama-Birmingham 2015,873,2042,202,528,715,434,1322,482
7,Albany (NY) 2015,729,1666,205,493,650,334,1111,381
12,Arizona 2015,1009,2068,193,700,974,411,1399,419
16,Arkansas 2015,978,2196,238,593,819,470,1290,430
21,Baylor 2015,813,1874,236,487,723,497,1333,434
22,Belmont 2015,858,1803,329,405,585,307,1093,451
25,Boise State 2015,831,1823,297,431,591,298,1119,348
30,Brigham Young 2015,976,2090,300,679,886,421,1349,417
34,Buffalo 2015,837,1922,199,589,819,420,1260,378
35,Butler 2015,814,1882,192,526,767,408,1239,376
41,UC-Irvine 2015,854,1851,217,370,541,329,1198,396
55,Cincinnati 2015,761,1705,167,424,633,383,1178,432
59,Coastal Carolina 2015,836,1899,228,538,780,447,1338,399
70,Davidson 2015,898,1924,343,390,553,335,1144,303
71,Dayton 2015,810,1755,239,580,846,255,1121,415
79,Duke 2015,1099,2191,283,610,873,445,1436,421
86,Eastern Washington 2015,977,2045,344,522,719,351,1183,376
103,Georgetown 2015,799,1753,201,541,769,367,1152,415
105,Georgia State 2015,902,1878,174,521,719,322,1116,366
107,Georgia 2015,747,1730,184,572,826,360,1260,420
108,Gonzaga 2015,1084,2083,264,557,806,391,1441,397
112,Hampton 2015,796,1959,194,560,859,416,1292,494
114,Harvard 2015,671,1548,146,438,609,316,1025,349
129,Indiana 2015,923,1989,319,468,651,407,1224,392
131,Iowa State 2015,940,1973,263,502,721,323,1221,375
132,Iowa 2015,821,1905,192,538,723,422,1274,377
140,Kansas 2015,869,1976,213,610,842,426,1364,463
143,Kentucky 2015,1006,2150,203,685,943,491,1482,408
145,Lafayette 2015,872,1799,261,421,549,282,1017,366
155,Louisiana State 2015,892,1962,189,450,658,401,1294,476
157,Louisville 2015,878,2048,198,529,792,454,1351,408
162,Manhattan 2015,756,1748,215,573,829,345,1065,481
168,Maryland 2015,781,1777,258,597,790,314,1223,431
176,Michigan State 2015,1014,2181,294,451,714,436,1458,441
183,Mississippi 2015,848,2003,220,559,723,430,1284,378
200,New Mexico State 2015,808,1748,165,535,771,428,1199,470
211,North Carolina State 2015,895,2054,236,499,727,435,1369,375
213,North Carolina 2015,1099,2309,184,571,814,526,1541,481
214,North Dakota State 2015,743,1713,230,425,614,274,1098,325
216,North Florida 2015,897,1910,317,540,747,339,1219,436
218,Northeastern 2015,838,1725,203,518,713,297,1160,483
222,Northern Iowa 2015,776,1618,257,472,644,255,1071,363
226,Notre Dame 2015,1050,2061,302,561,756,313,1231,357
228,Ohio State 2015,964,1995,236,471,693,387,1241,396
230,Oklahoma State 2015,733,1667,226,468,645,287,1039,392
231,Oklahoma 2015,885,2035,236,495,668,389,1332,419
235,Oregon 2015,992,2143,263,466,613,372,1298,421
246,Providence 2015,828,1889,171,543,768,411,1228,407
247,Purdue 2015,827,1840,195,524,767,409,1249,444
254,Robert Morris 2015,854,1926,221,485,684,367,1162,467
265,San Diego State 2015,800,1916,189,437,694,439,1270,410
286,Southern Methodist 2015,832,1750,145,541,770,388,1244,426
292,St. John's (NY) 2015,835,1890,198,475,687,336,1164,352
294,Stephen F. Austin 2015,911,1870,262,588,799,413,1176,476
310,Texas Southern 2015,818,1840,185,569,861,394,1193,454
313,Texas 2015,796,1837,212,486,671,422,1351,435
319,UCLA 2015,930,2099,223,507,750,440,1367,430
322,Utah 2015,849,1760,264,534,760,322,1204,407
323,Valparaiso 2015,837,1836,236,456,676,397,1276,422
326,Villanova 2015,916,1951,326,596,815,371,1235,382
327,Virginia Commonwealth 2015,896,2139,293,524,797,444,1277,383
330,Virginia 2015,804,1758,170,446,614,358,1232,316
336,West Virginia 2015,872,2138,227,571,863,575,1272,453
341,Wichita State 2015,860,1933,239,501,715,415,1245,327
344,Wisconsin 2015,1014,2115,288,584,765,383,1338,296
345,Wofford 2015,818,1802,222,473,688,324,1139,379
347,Wyoming 2015,747,1619,209,448,638,216,1047,392
348,Xavier 2015,956,2011,234,566,775,364,1282,447
